VoWTI,SoWTI,CoWTI,EoI,Class,,V_norm,S_norm,C_norm,E_norm,,,,,,,,
3.6216,8.6661,-2.8073,-0.44699,0,,1.1470865,1.189050934,-1.00508331,-0.140016816,,,,,,,,
4.5459,8.1674,-2.4586,-1.4621,0,,1.481614187,1.115954562,-0.934744019,-0.709024664,,,,mean,0.4522,0.5538,2.1753,-0.1972
3.866,-2.6383,1.9242,0.10645,0,,1.235541079,-0.467878344,-0.050651551,0.170207399,,,,,,,,
3.4566,9.5228,-4.0112,-3.5944,0,,1.087368802,1.31462074,-1.247932384,-1.90426009,,,,std,2.763,6.8225,4.9574,1.784
0.32924,-4.4552,4.5718,-0.9888,0,,-0.044502353,-0.734188347,0.483418728,-0.443721973,,,,,,,,
4.3684,9.6718,-3.9606,-3.1625,0,,1.417372421,1.336460242,-1.237725421,-1.662163677,,,,,,,,
3.5912,3.0129,0.72888,0.56421,0,,1.136083967,0.360439722,-0.291769879,0.426799327,,,,,,,,
2.0922,-6.81,8.4636,-0.60216,0,,0.593557727,-1.079340418,1.268467342,-0.226995516,,,,,,,,
3.2032,5.7588,-0.75345,-0.61251,0,,0.995656895,0.762916819,-0.590783475,-0.232797085,,,,,,,,
1.5356,9.1772,-2.2718,-0.73535,0,,0.392110025,1.263964822,-0.897062977,-0.301653587,,,,,,,,
1.2247,8.7779,-2.2135,-0.80647,0,,0.279587405,1.205437889,-0.88530278,-0.341519058,,,,,,,,
3.9899,-2.7066,2.3946,0.86291,0,,1.280383641,-0.477889337,0.044236898,0.594232063,,,,,,,,
1.8993,7.6625,0.15394,-3.1108,0,,0.523742309,1.041949432,-0.407745996,-1.633183857,,,,,,,,
-1.5768,10.843,2.5462,-2.9362,0,,-0.734346725,1.508127519,0.074817445,-1.535313901,,,,,,,,
3.404,8.7261,-2.9915,-0.57242,0,,1.068331524,1.197845365,-1.042239884,-0.210325112,,,,,,,,
4.6765,-3.3895,3.4896,1.4771,0,,1.52888165,-0.57798461,0.265118812,0.938508969,,,,,,,,
2.6719,3.0646,0.37158,0.58619,0,,0.803365907,0.368017589,-0.36384395,0.439119955,,,,,,,,
0.80355,2.8473,4.3439,0.6017,0,,0.127162505,0.336167094,0.437447049,0.447813901,,,,,,,,
1.4479,-4.8794,8.3428,-2.1086,0,,0.360369164,-0.796364969,1.24409973,-1.071412556,,,,,,,,
5.2423,11.0272,-4.353,-4.1013,0,,1.733659066,1.53512642,-1.316879816,-2.188396861,,,,,,,,
-1.3971,3.3191,-1.3927,-1.9948,1,,-0.669308722,0.40532063,-0.719732118,-1.007623318,,,,,,,,
0.39012,-0.14279,-0.031994,0.35084,1,,-0.022468332,-0.102101869,-0.44525235,0.307197309,,,,,,,,
-1.6677,-7.1535,7.8929,0.96765,1,,-0.767245747,-1.129688531,1.153346512,0.652942825,,,,,,,,
-3.8483,-12.8047,15.6824,-1.281,1,,-1.556460369,-1.958006596,2.724633881,-0.607511211,,,,,,,,
-3.5681,-8.213,10.083,0.96765,1,,-1.45504886,-1.28498351,1.595130512,0.652942825,,,,,,,,
-2.2804,-0.30626,1.3347,1.3763,1,,-0.988997467,-0.126062294,-0.169564691,0.882006726,,,,,,,,
-1.7582,2.7397,-2.5323,-2.234,1,,-0.8,0.320395749,-0.949610683,-1.141704036,,,,,,,,
-0.89409,3.1991,-1.8219,-2.9452,1,,-0.487256605,0.38773177,-0.806309759,-1.540358744,,,,,,,,
0.3434,0.12415,-0.28733,0.14654,1,,-0.039377488,-0.062975449,-0.496758381,0.192679372,,,,,,,,
-0.9854,-6.661,5.8245,0.5461,1,,-0.520304017,-1.057500916,0.736111671,0.416647982,,,,,,,,
-2.4115,-9.1359,9.3444,-0.65259,1,,-1.036445892,-1.420256504,1.446141122,-0.255263453,,,,,,,,
-1.5252,-6.2534,5.3524,0.59912,1,,-0.715671372,-0.99775742,0.6408803,0.446367713,,,,,,,,
-0.61442,-0.091058,-0.31818,0.50214,1,,-0.386036916,-0.094519311,-0.502981402,0.392006726,,,,,,,,
-0.36506,2.8928,-3.6461,-3.0603,1,,-0.295787188,0.342836204,-1.174284907,-1.604876682,,,,,,,,
-5.9034,6.5679,0.67661,-6.6797,1,,-2.300253348,0.881509711,-0.302313713,-3.633688341,,,,,,,,
-1.8215,2.7521,-0.72261,-2.353,1,,-0.822909881,0.322213265,-0.584562472,-1.208408072,,,,,,,,
-0.77461,-1.8768,2.4023,1.1319,1,,-0.444013753,-0.356262367,0.045790132,0.745011211,,,,,,,,
-1.8187,-9.0366,9.0162,-0.12243,1,,-0.821896489,-1.405701722,1.379937064,0.041911435,,,,,,,,
-3.5801,-12.9309,13.1779,-2.5677,1,,-1.459391965,-1.976504214,2.21942954,-1.328755605,,,,,,,,
-1.8219,-6.8824,5.4681,0.057313,1,,-0.823054651,-1.089952364,0.664219147,0.142664238,,,,,,,,
2.6606,3.1681,1.9619,0.18662,0,,0.799276149,0.383187981,-0.043046758,0.21514574,,,,,,,,
3.931,1.8541,-0.023425,1.2314,0,,1.259066232,0.19058996,-0.443523823,0.800784753,,,,,,,,
0.01727,8.693,1.3989,-3.9668,0,,-0.157412233,1.192993771,-0.156614354,-2.113004484,,,,,,,,
3.2414,0.40971,1.4015,1.1952,0,,1.009482447,-0.021119824,-0.156089886,0.780493274,,,,,,,,
2.2504,3.5757,0.35273,0.2836,0,,0.650814332,0.442931477,-0.367646347,0.269506726,,,,,,,,
0.40614,1.3492,-1.4501,-0.55949,1,,-0.016670286,0.11658483,-0.731310768,-0.203077354,,,,,,,,
-1.3887,-4.8773,6.4774,0.34179,1,,-0.666268549,-0.796057164,0.867813773,0.302124439,,,,,,,,
-3.7503,-13.4586,17.5932,-2.7771,1,,-1.520991676,-2.053851228,3.110077863,-1.446132287,,,,,,,,
-3.5637,-8.3827,12.393,-1.2823,1,,-1.453456388,-1.309857091,2.061100577,-0.60823991,,,,,,,,
-2.5419,-0.65804,2.6842,1.1952,1,,-1.08364097,-0.177624038,0.102654617,0.780493274,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Distance Measurement,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,V_norm,S_norm,C_norm,E_norm,Class,,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,
,1.1470865,1.189050934,-1.00508331,-0.140016816,0,,1.349830325,1.486580112,2.51282956,1.746876298,1.173463133,3.059460367,4.70846598,6.604727322,5.670915589,4.658334495,
,1.481614187,1.115954562,-0.934744019,-0.709024664,0,,1.628418558,1.851121011,2.295427576,2.083461659,1.556377822,1.075515488,2.38307763,4.651088548,3.38367548,2.094081323,
,1.235541079,-0.467878344,-0.050651551,0.170207399,0,,0.957454054,0.993030896,3.150095194,0.796405532,1.132177527,0.624553553,1.618709687,4.665772752,3.259789838,1.286857444,
,1.087368802,1.31462074,-1.247932384,-1.90426009,0,,2.625679874,3.042575544,1.672968084,3.192223332,2.539800712,2.530072019,0.571059339,3.107591273,1.70819937,1.458339916,
,-0.044502353,-0.734188347,0.483418728,-0.443721973,0,,1.63455333,2.227672655,2.631145379,1.878037516,1.761273207,4.333820859,2.533334934,0.928599265,0.933265545,3.492084183,
,1.417372421,1.336460242,-1.237725421,-1.662163677,0,,2.498463279,2.834598861,1.967889201,3.024219945,2.423714732,3.190364604,1.230157116,2.701238202,1.344742066,1.899458406,
,1.136083967,0.360439722,-0.291769879,0.426799327,0,,0.469699288,0.454827371,2.972397867,0.552380394,0.522292742,1.580273359,1.401950294,4.491734026,2.968803595,0.309877943,
,0.593557727,-1.079340418,1.268467342,-0.226995516,0,,2.024072012,2.458225125,3.3638291,2.082599614,2.289972165,1.258498801,2.579151707,4.76766456,3.526144614,2.265078512,
,0.995656895,0.762916819,-0.590783475,-0.232797085,0,,0.826696845,1.219393019,2.288715204,1.353004239,0.723468251,1.445309141,2.762396677,4.730423487,3.592525228,2.624475534,
,0.392110025,1.263964822,-0.897062977,-0.301653587,0,,1.392112547,1.823407448,2.033781659,1.937182027,1.160831489,0.494363954,1.674645213,4.674798211,3.276956989,1.34478684,
,0.279587405,1.205437889,-0.88530278,-0.341519058,0,,1.401942298,1.867972628,1.964757231,1.956490152,1.166424517,2.041938388,0.346582696,3.331629563,1.934023727,1.274826686,
,1.280383641,-0.477889337,0.044236898,0.594232063,0,,1.060303467,0.85316677,3.496938415,0.597369152,1.23262437,2.854092447,1.082497052,2.196151395,0.829971864,2.103357033,
,0.523742309,1.041949432,-0.407745996,-1.633183857,0,,2.014748961,2.681603526,0.883221851,2.693553009,1.999202152,2.008742988,0.339747782,3.382656911,1.941894901,1.099703217,
,-0.734346725,1.508127519,0.074817445,-1.535313901,0,,2.587564301,3.381661579,0.905234651,3.285699116,2.550777424,0.76632632,1.567751053,4.643280753,3.192403479,1.005621497,
,1.068331524,1.197845365,-1.042239884,-0.210325112,0,,1.384004984,1.55940606,2.430430552,1.804528259,1.195629799,1.513394652,3.039926782,5.06223279,3.94114161,2.865686099,
